manufacturer,category,screen_size,screen,ram,operating_system,weight,price,width_screen,height_screen,touchscreen,amd,intel,freq_cpu,ssd,hdd,hybrid,flash,brand_gpu
1,4,13.3,7,8,5,1.37,11912523.48,2560,1600,0,0.0,1.0,2.3,128.0,0.0,0.0,0.0,1
1,4,13.3,0,8,5,1.34,7993374.48,1440,900,0,0.0,1.0,1.8,0.0,0.0,0.0,128.0,1
7,3,15.6,2,8,3,1.86,5112900.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
1,4,15.4,7,16,5,1.83,22563005.4,2880,1800,0,0.0,1.0,2.7,512.0,0.0,0.0,0.0,0
1,4,13.3,7,8,5,1.37,16037611.2,2560,1600,0,0.0,1.0,3.1,256.0,0.0,0.0,0.0,1
0,3,15.6,0,4,4,2.1,3556800.0,1366,768,0,1.0,0.0,,0.0,500.0,0.0,0.0,0
1,4,15.4,7,16,5,2.04,19028613.24,2880,1800,0,0.0,1.0,2.2,0.0,0.0,0.0,256.0,1
1,4,13.3,0,8,5,1.34,10303160.4,1440,900,0,0.0,1.0,1.8,0.0,0.0,0.0,256.0,1
2,4,14.0,2,16,4,1.3,13293540.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,2
0,4,14.0,5,8,4,1.6,6846840.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
7,3,15.6,0,4,3,1.86,3502558.8,1366,768,0,0.0,1.0,2.5,0.0,500.0,0.0,0.0,1
7,3,15.6,2,4,3,1.86,3067651.08,1920,1080,0,0.0,1.0,,0.0,500.0,0.0,0.0,1
1,4,15.4,7,16,5,1.83,21696213.24,2880,1800,0,0.0,1.0,2.8,256.0,0.0,0.0,0.0,0
4,3,15.6,2,4,4,2.2,4436218.8,1920,1080,0,0.0,1.0,,256.0,0.0,0.0,0.0,0
1,4,12.0,7,8,5,0.92,11225260.8,2304,1440,0,0.0,1.0,1.2,256.0,0.0,0.0,0.0,1
1,4,13.3,7,8,5,1.37,13502946.6,2560,1600,0,0.0,1.0,2.3,256.0,0.0,0.0,0.0,1
4,3,15.6,2,8,4,2.2,6624540.0,1920,1080,0,0.0,1.0,2.7,256.0,0.0,0.0,0.0,0
1,4,15.4,7,16,5,1.83,25413336.0,2880,1800,0,0.0,1.0,2.9,512.0,0.0,0.0,0.0,0
10,3,15.6,2,8,3,2.2,4437108.0,1920,1080,0,0.0,1.0,2.4,0.0,1024.0,0.0,0.0,2
4,4,13.3,5,8,4,1.22,8705268.0,1920,1080,0,0.0,1.0,1.6,128.0,0.0,0.0,0.0,1
2,2,11.6,0,2,4,0.98,1706374.8,1366,768,0,0.0,1.0,1.4,0.0,0.0,0.0,32.0,1
10,1,15.6,5,8,4,2.5,8883108.0,1920,1080,0,0.0,1.0,2.5,128.0,1024.0,0.0,0.0,2
7,3,15.6,0,4,3,1.86,2294136.0,1366,768,0,1.0,0.0,1.5,0.0,500.0,0.0,0.0,0
4,0,13.3,2,8,4,1.62,7282548.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
7,4,15.6,2,8,4,1.91,5859828.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,1
4,3,15.6,0,4,4,2.3,3722546.88,1366,768,0,0.0,1.0,,0.0,1024.0,0.0,0.0,1
1,4,13.3,0,8,5,1.35,9772308.0,1440,900,0,0.0,1.0,1.6,0.0,0.0,0.0,128.0,1
4,3,15.6,2,8,4,2.2,7113600.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,0
4,4,15.6,2,8,4,1.88,11541816.0,1920,1080,0,0.0,1.0,1.9,512.0,0.0,0.0,0.0,1
7,3,17.3,2,8,4,2.5,7967232.0,1920,1080,0,0.0,1.0,1.6,0.0,1024.0,0.0,0.0,2
3,3,15.6,2,4,4,1.89,2178451.08,1920,1080,0,0.0,1.0,1.4,0.0,0.0,0.0,64.0,1
2,3,14.0,0,2,4,1.65,1769508.0,1366,768,0,1.0,0.0,1.5,0.0,0.0,0.0,32.0,0
7,3,17.3,2,4,4,2.71,3903588.0,1920,1080,0,1.0,0.0,2.5,0.0,500.0,0.0,0.0,0
4,4,13.3,8,16,4,1.2,16619148.0,3200,1800,1,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
1,4,13.3,0,8,5,1.35,8874216.0,1440,900,0,0.0,1.0,1.6,0.0,0.0,0.0,256.0,1
10,3,14.0,0,4,4,1.44,2214108.0,1366,768,0,0.0,1.0,1.1,0.0,0.0,0.0,64.0,1
0,3,15.6,0,4,2,2.1,3263364.0,1366,768,0,0.0,1.0,2.7,0.0,1024.0,0.0,0.0,1
4,3,17.3,5,8,4,2.8,8705268.0,1920,1080,0,0.0,1.0,1.6,128.0,1024.0,0.0,0.0,0
7,3,15.6,0,4,4,1.86,4345431.48,1366,768,0,0.0,1.0,2.5,0.0,1024.0,0.0,0.0,1
7,3,15.6,2,8,4,2.1,7816068.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,2
2,3,15.6,2,4,2,,3458988.0,1920,1080,0,0.0,1.0,,0.0,1024.0,0.0,0.0,1
4,1,15.6,5,16,4,2.65,13329108.0,1920,1080,0,0.0,1.0,2.8,256.0,1024.0,0.0,0.0,2
2,3,15.6,0,8,2,2.3,4650427.08,1366,768,0,0.0,1.0,2.5,0.0,1024.0,0.0,0.0,2
0,3,15.6,5,4,4,2.2,6064344.0,1920,1080,0,0.0,1.0,1.6,256.0,0.0,0.0,0.0,1
4,0,17.3,2,12,4,2.77,8883108.0,1920,1080,0,0.0,1.0,1.6,0.0,1024.0,0.0,0.0,2
1,4,13.3,7,8,5,1.37,12617748.0,2560,1600,0,0.0,1.0,2.0,256.0,0.0,0.0,0.0,1
10,3,15.6,0,4,3,2.2,3281148.0,1366,768,0,0.0,1.0,,128.0,0.0,0.0,0.0,1
2,1,17.3,2,8,4,3.2,11550708.0,1920,1080,0,1.0,0.0,,256.0,1024.0,0.0,0.0,0
4,3,15.6,2,4,4,2.3,5681988.0,1920,1080,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,0
2,3,17.3,0,4,4,2.8,4143672.0,1366,768,0,0.0,1.0,1.1,0.0,1024.0,0.0,0.0,2
10,0,10.1,3,4,0,0.69,2836548.0,1920,1200,0,0.0,1.0,1.4,0.0,0.0,0.0,64.0,1
0,3,15.6,5,8,4,2.2,7478172.0,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,2
7,3,15.6,2,4,4,1.86,3543373.08,1920,1080,0,1.0,0.0,2.5,256.0,0.0,0.0,0.0,0
7,3,13.3,2,8,4,1.49,9807876.0,1920,1080,0,0.0,1.0,1.8,512.0,0.0,0.0,0.0,1
0,3,15.6,0,4,4,2.4,3414528.0,1366,768,0,0.0,1.0,2.4,0.0,1024.0,0.0,0.0,1
4,3,15.6,2,8,4,2.13,6827277.6,1920,1080,0,0.0,1.0,1.8,256.0,0.0,0.0,0.0,0
7,3,15.6,2,4,4,1.91,3903588.0,1920,1080,0,0.0,1.0,,128.0,0.0,0.0,0.0,1
2,3,15.6,0,4,4,,5212401.48,1366,768,0,0.0,1.0,2.5,256.0,0.0,0.0,0.0,1
